Affiliation Name,Affiliation Domain,Affiliation Country
Unknown,unknown.edu,UNK
Peking University,pku.edu.cn,CN
Unknown,unknown.edu,UNK
National University of Defense Technology,nudt.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"Computer Science Department, Stanford University",cs.stanford.edu,US
École Polytechnique,polytechnique.fr,FR
The Hong Kong University of Science and Technology,hkust.edu.hk,HK
Unknown,unknown.edu,UNK
South China University of Technology,scut.edu.cn,CN
Google,google.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Carnegie Mellon University,cmu.edu,US
Central China Normal University,ccnu.edu.cn,CN
Unknown,unknown.edu,UNK
IBM,us.ibm.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"Institute of information engineering, Chinese Academy of Sciences",iie.ac.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Peking University,stu.pku.edu.cn,CN
Peking University,pku.edu.cn,CN
MedaiTek Research,mtkresearch.com,TW
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
LG AI Research,lgresearch.ai,AI
"Department of Electrical Engineering, KU Leuven, Belgium, KU Leuven",esat.kuleuven.be,BE
City University of Hong Kong,cityu.edu.hk,HK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Vanderbilt University,vanderbilt.edu,US
Unknown,unknown.edu,UNK
Harvard University,harvard.edu,US
Harvard University,harvard.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of Montreal,umontreal.ca,CA
Unknown,unknown.edu,UNK
University of Delaware,udel.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"Montreal Institute for Learning Algorithms, University of Montreal, Université de Montréal",mila.umontreal.ca,CA
HEC Montreal,hec.ca,CA
Unknown,unknown.edu,UNK
Karlsruher Institut für Technologie,kit.edu,DE
Google,google.com,US
Unknown,unknown.edu,UNK
"Computer Science Department, Stanford University",cs.stanford.edu,US
Stanford University,stanford.edu,US
Stanford University,stanford.edu,US
Massachusetts Institute of Technology,mit.edu,US
Unknown,unknown.edu,UNK
University of California Berkeley,berkeley.edu,US
Unknown,unknown.edu,UNK
Genentech,gene.com,US
Unknown,unknown.edu,UNK
Genentech Research and Early Development,gene.com,US
Genentech,gene.com,US
Terray Theraputics,terraytx.com,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
New York University,nyu.edu,US
"The Chinese University of Hong Kong, Shenzhen",cuhk.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
TU Darmstadt,tu-darmstadt.de,DE
Unknown,unknown.edu,UNK
Columbia University,columbia.edu,US
University of Toronto,toronto.edu,CA
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
City University of Hong Kong,cityu.edu.hk,HK
Unknown,unknown.edu,UNK
Apple,apple.com,US
Unknown,unknown.edu,UNK
Beijing University of Aeronautics and Astronautics,buaa.edu.cn,CN
Unknown,unknown.edu,UNK
University of Oxford,ox.ac.uk,UK
University of Oxford,oxford.ac.uk,UK
Meta AI,meta.com,US
Facebook AI Research,fb.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, San Diego",ucsd.edu,US
Central South University,csu.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"CMU, Carnegie Mellon University",andrew.cmu.edu,US
"School of Computer Science, Carnegie Mellon University",cs.cmu.edu,US
Carnegie Mellon University,cmu.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Southeast University,seu.edu.cn,CN
Unknown,unknown.edu,UNK
Technische Universität München,tum.de,DE
Technical University Munich,tum.de,DE
Unknown,unknown.edu,UNK
École Polytechnique,polytechnique.fr,FR
INRIA,inria.fr,FR
The University of Tokyo,u-tokyo.ac.jp,JP
Oregon State University,,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Université de Montréal,umontreal.ca,CA
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"Electrical Engineering & Computer Science, Massachusetts Institute of Technology",eecs.mit.edu,US
Unknown,unknown.edu,UNK
"University of California, San Diego",ucsd.edu,US
Pennsylvania State University,psu.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Samsung,samsung.com,KR
Google,google.com,US
Google,google.com,US
Google,google.com,US
Unknown,unknown.edu,UNK
Swiss Federal Institute of Technology,ethz.ch,CH
"Max Planck Institute for Intelligent Systems, Max-Planck Institute",tuebingen.mpg.de,DE
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, Irvine",uci.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
The University of Tokyo,u-tokyo.ac.jp,JP
Unknown,unknown.edu,UNK
Harvard University,harvard.edu,US
Google DeepMind,google.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Zhejiang University,zju.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Vrije Universiteit Brussel,vub.be,BE
Sony AI,sony.com,JP
"Department of Computer Science, University of Toronto",cs.toronto.edu,CA
Unknown,unknown.edu,UNK
Intel,intel.com,US
Google DeepMind,google.com,US
Google Research,google.com,US
Google DeepMind,google.com,US
Unknown,unknown.edu,UNK
Johns Hopkins University,jh.edu,US
Tencent Research,tencent.com,CN
Unknown,unknown.edu,UNK
Johns Hopkins University,jhu.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Massachusetts Institute of Technology,mit.edu,US
Unknown,unknown.edu,UNK
"Institute of automation, Chinese academy of science, Chinese Academy of Sciences",ia.ac.cn,CN
"School of Computer and Communication Sciences, EPFL - EPF Lausanne",ic.epfl.ch,CH
Unknown,unknown.edu,UNK
Shanghai Jiaotong University,sjtu.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of Chicago,uchicago.edu,US
Pohang University of Science and Technology,postech.ac.kr,KR
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of Cambridge,cam.ac.uk,UK
University of Virginia,virginia.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Google,google.com,US
University of the Chinese Academy of Sciences,ucas.edu.cn,CN
Unknown,unknown.edu,UNK
"School of Engineering and Applied Sciences, Harvard University",seas.harvard.edu,US
Northwestern University,northwestern.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Scale AI,scale.com,US
Rice University,rice.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Massachusetts Institute of Technology,mit.edu,US
George Mason University,gmu.edu,US
Unknown,unknown.edu,UNK
University of Cambridge,cam.ac.uk,UK
University of Cambridge,cam.ac.uk,UK
University of Cambridge,cam.ac.uk,UK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Peking University,pku.edu.cn,CN
Didi Research,didichuxing.com,CN
Peking University,stu.pku.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of California, Los Angeles",ucla.edu,US
Unknown,unknown.edu,UNK
Google,google.com,US
Google Inc,google.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Google,google.com,US
Harvard University,harvard.edu,US
Google Research,google.com,US
Unknown,unknown.edu,UNK
University of Cambridge,cam.ac.uk,UK
University of Montreal,umontreal.ca,CA
"Technion - Israel Institute of Technology, Technion",technion.ac.il,IL
Unknown,unknown.edu,UNK
Megvii Technology Inc.,megvii.com,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Georgia Institute of Technology,gatech.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of Cambridge,cam.ac.uk,UK
Unknown,unknown.edu,UNK
TU Wien Vienna University of Technology,tuwien.ac.at,AT
"University of California, San Diego",ucsd.edu,US
Cornell University,cornell.edu,US
Google,google.com,US
"University of Maryland, College Park",umd.edu,US
"University of Maryland, College Park",umd.edu,US
Unknown,unknown.edu,UNK
Google,google.com,US
Unknown,unknown.edu,UNK
Princeton University,princeton.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"Harvard University, Harvard University",g.harvard.edu,US
Alibaba Group,alibaba-inc.com,CN
LinkedIn,linkedin.com,US
Columbia University,columbia.edu,US
University of Basel,unibas.ch,CH
Unknown,unknown.edu,UNK
"University of California, San Diego",ucsd.edu,US
ETHZ - ETH Zurich,ethz.ch,CH
Unknown,unknown.edu,UNK
OpenAI,openai.com,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
East China Normal University,ecnu.edu.cn,CN
"Department of Computer Science, ETHZ - ETH Zurich",inf.ethz.ch,CH
Princeton University,princeton.edu,US
National University of Defense Technology,nudt.edu.cn,CN
National University of Defense Technology,nudt.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Johns Hopkins University School of Public Health,sph.jhu.edu,US
Unknown,unknown.edu,UNK
Seoul National University,snu.ac.kr,KR
Universiteit Gent,ugent.be,BE
East China Normal University,ecnu.edu.cn,CN
OpenAI,openai.com,US
OpenAI,openai.com,US
Huazhong University of Science and Technology,hust.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Mila,mila.quebec,CA
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
"University of Oxford, University of Oxford",eng.ox.ac.uk,UK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
SAP,sap.com,UNK
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
Massachusetts Institute of Technology,mit.edu,US
University of Cambridge,cam.ac.uk,UK
The Chinese University of Hong Kong (Shenzhen),cuhk.edu.cn,CN
"School of Computer Science, Carnegie Mellon University",cs.cmu.edu,US
Unknown,unknown.edu,UNK
Aalto University,aalto.fi,FI
Unknown,unknown.edu,UNK
Amazon,amazon.com,US
New York University,nyu.edu,US
Central South University,csu.edu.cn,CN
Unknown,unknown.edu,UNK
Tongji University,tongji.edu.cn,CN
"Institute of Software, Chinese Academy of Sciences",iscas.ac.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Shanghai Jiao Tong University,sjtu.edu.cn,CN
University of California Berkeley,berkeley.edu,US
University of Manchester,cs.manchester.ac.uk,UK
Unknown,unknown.edu,UNK
New Jersey Institute of Technology,njit.edu,US
California Institute of Technology,caltech.edu,US
Massachusetts Institute of Technology,mit.edu,US
eBay Search Science Team,ebay.com,US
University of Pittsburgh,pitt.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Huazhong Agricultural University,hzau.edu.cn,CN
Unknown,unknown.edu,UNK
Princeton University,princeton.edu,US
Unknown,unknown.edu,UNK
Google,google.com,US
Unknown,unknown.edu,UNK
Massachusetts Institute of Technology,mit.edu,US
Unknown,unknown.edu,UNK
NVIDIA,nvidia.com,US
"University of California, San Diego",ucsd.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
New Jersey Institute of Technology,njit.edu,US
Unknown,unknown.edu,UNK
Samsung,samsung.com,KR
Technical University Munich,tum.de,DE
"Department of Computer Science, Cornell University",cs.cornell.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Stanford University,stanford.edu,US
Unknown,unknown.edu,UNK
Carnegie Mellon University,cmu.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
University of British Columbia,ubc.ca,CA
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Pfizer,pfizer.com,UNK
Unknown,unknown.edu,UNK
"Machine Learning Department, School of Computer Science",mld.cs.cmu.edu,US
Ludwig-Maximilians-Universität München,lmu.de,DE
Massachusetts Institute of Technology,mit.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Peking University,pku.edu.cn,CN
Peking University,pku.edu.cn,CN
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Beihang University,buaa.edu.cn,CN
DeepMind,deepmind.com,GB
Boston University,bu.edu,US
Boston University,bu.edu,US
Unknown,unknown.edu,UNK
Unknown,unknown.edu,UNK
Paris-Lodron-University of Salzburg,sbg.ac.at,AT
Unknown,unknown.edu,UNK
International Business Machines,ibm.com,US
International Business Machines,ibm.com,US
Microsoft,microsoft.com,US
Meta Fundamental AI Research,meta.com,US
